Date,Receipt number,Receipt type,Gross sales,Discounts,Net sales,Taxes,Total collected,Cost of goods,Gross profit,Payment type,Description,Dining option,POS,Store,Cashier name,Customer name,Customer contacts,Status
8/28/20 10:30 PM,5-2715,Sale,12.50,0.00,12.50,0.00,12.50,0.00,12.50,Maybank QRPay,1 x Nasi Goreng Kampung (Seafood),Dine in,POS 2020,Glaze Eatery,Owner,,,Closed
8/28/20 10:22 PM,5-2714,Sale,27.00,0.00,27.00,0.00,27.00,0.00,27.00,Card,"1 x Burnt Cheesecake, 1 x Solo Salted Caramel, 1 x Mineral Water (Iced)",Table 8,POS 2020,Glaze Eatery,Owner,,,Closed
8/28/20 10:21 PM,5-2713,Sale,69.00,0.00,69.00,0.00,69.00,0.00,69.00,Card,"1 x Stoner Fries, 1 x Mac & Nothing (Seafood), 1 x Butter Chicken, 1 x Teh Tarik (Iced), 1 x A&W Root Beer, 1 x Bulgogi Beef Fries, 1 x Mineral Water (Iced)",Out 3,POS 2020,Glaze Eatery,Owner,,,Closed
8/28/20 10:18 PM,5-2712,Sale,6.00,0.00,6.00,0.00,6.00,0.00,6.00,Card,"1 x Lemon Tea (Iced), 1 x Plain water (Hot)",Table 12,POS 2020,Glaze Eatery,Owner,,,Closed
8/28/20 10:14 PM,5-2711,Sale,12.00,0.00,12.00,0.00,12.00,0.00,12.00,Cash,1 x Butterscotch Latte (Hot),Table 17,POS 2020,Glaze Eatery,Owner,,,Closed
8/28/20 10:13 PM,5-2710,Sale,41.00,0.00,41.00,0.00,41.00,0.00,41.00,Maybank QRPay,"1 x Cookies & Cream Frappe, 1 x Teh Tarik (Iced), 1 x Butter Chicken, 1 x Nasi Goreng Kampung (Beef)",Table 5,POS 2020,Glaze Eatery,Owner,,,Closed
8/28/20 10:10 PM,5-2709,Sale,3.00,0.00,3.00,0.00,3.00,0.00,3.00,Cash,1 x Mineral Water (Iced),Dine in,POS 2020,Glaze Eatery,Owner,,,Closed
8/28/20 10:10 PM,5-2708,Sale,67.00,0.00,67.00,0.00,67.00,0.00,67.00,Card,"1 x Country Style Omelette, 1 x Classic Grilled Cheese, 2 x A&W Root Beer, 1 x Stoner Fries, 1 x Salted Caramel Latte Frappe",Dine in,POS 2020,Glaze Eatery,Owner,,,Closed
8/28/20 10:07 PM,5-2707,Sale,14.00,0.00,14.00,0.00,14.00,0.00,14.00,Cash,"1 x Burnt Cheesecake, 1 x Extra Charge Bar",Table 3,POS 2020,Glaze Eatery,Owner,,,Closed
8/28/20 10:06 PM,5-2706,Sale,54.00,0.00,54.00,0.00,54.00,0.00,54.00,Cash,"1 x Crusted Chicken Chop Chop (Fries), 1 x Honey Chilli Chicken, 1 x Salted Caramel Latte (Iced), 1 x Butterscotch Latte (Iced)",Table 11,POS 2020,Glaze Eatery,Owner,,,Closed
8/28/20 10:05 PM,5-2705,Sale,103.00,0.00,103.00,0.00,103.00,0.00,103.00,Cash,"1 x Nasi Goreng Kampung (Chicken), 1 x Mac & Cheese (Chicken), 1 x Masak Lemak Cili Api (Seafood), 1 x Arabiatta (Beef), 1 x Kinder Bueno Affle, 2 x Mineral Water (Iced), 1 x Salted Caramel Latte (Iced), 1 x Butterscotch Latte (Iced)",Table 17,POS 2020,Glaze Eatery,Owner,,,Closed
8/28/20 10:03 PM,5-2704,Sale,12.00,0.00,12.00,0.00,12.00,0.00,12.00,Boost,1 x Married Salted Caramel,Table 12,POS 2020,Glaze Eatery,Owner,,,Closed
8/28/20 10:02 PM,5-2703,Sale,20.00,0.00,20.00,0.00,20.00,0.00,20.00,Cash,"1 x Creamy Curry (Beef), 1 x Peach Tea (Iced)",Dine in,POS 2020,Glaze Eatery,Owner,,,Closed
8/28/20 10:01 PM,5-2702,Sale,45.00,0.00,45.00,0.00,45.00,0.00,45.00,Card,"1 x Bulgogi Beef Fries, 1 x Aglio Olio (Beef), 1 x Salted Caramel Latte (Iced), 1 x Coca-Cola",Dine in,POS 2020,Glaze Eatery,Owner,,,Closed
